time,strategy,instrument,granularity,side,price,position_size,equity,drawdown,pnl
2024-01-30 11:30:00+00:00,S5_Momentum_Exhaustion,EUR_AUD,M15,SELL_SHORT,1.64444,1500.0,100000.0,0.0,0.0
2024-01-30 13:00:00+00:00,S5_Momentum_Exhaustion,EUR_AUD,M15,SL_EXIT_SHORT,1.6463857142857141,0.0,99998.23,0.0,-1.77
2024-01-30 13:00:00+00:00,S5_Momentum_Exhaustion,EUR_AUD,M15,SELL_SHORT,1.64588,1499.97,99998.23,0.0,0.0
2024-01-30 15:30:00+00:00,S5_Momentum_Exhaustion,EUR_AUD,M15,SL_EXIT_SHORT,1.6475964285714286,0.0,99996.66,0.0,-1.56
2024-01-30 15:30:00+00:00,S5_Momentum_Exhaustion,EUR_AUD,M15,SELL_SHORT,1.64753,1499.95,99996.66,0.0,0.0
2024-01-30 19:30:00+00:00,S5_Momentum_Exhaustion,EUR_AUD,M15,TP1_SHORT,1.64201884356933,899.97,99998.67,0.0,2.01
2024-01-30 19:30:00+00:00,S5_Momentum_Exhaustion,EUR_AUD,M15,TP2_SHORT,1.6447914285714285,299.99,99999.67,0.0,1.0
2024-01-30 19:30:00+00:00,S5_Momentum_Exhaustion,EUR_AUD,M15,TP3_SHORT,1.6427375,0.0,100000.54,0.0,0.87
2024-01-31 01:00:00+00:00,S5_Momentum_Exhaustion,EUR_AUD,M15,SELL_SHORT,1.64754,1500.01,100000.54,0.0,0.0
2024-01-31 01:30:00+00:00,S5_Momentum_Exhaustion,EUR_AUD,M15,SL_EXIT_SHORT,1.6489789285714287,0.0,99999.23,0.0,-1.31
2024-01-31 02:00:00+00:00,S5_Momentum_Exhaustion,EUR_AUD,M15,SELL_SHORT,1.64978,1499.99,99999.23,0.0,0.0
2024-01-31 08:00:00+00:00,S5_Momentum_Exhaustion,EUR_AUD,M15,TP1_SHORT,1.64420366164255,899.99,100001.26,0.0,2.03
2024-01-31 08:00:00+00:00,S5_Momentum_Exhaustion,EUR_AUD,M15,TP2_SHORT,1.6474685714285713,300.0,100002.1,0.0,0.84
2024-01-31 08:00:00+00:00,S5_Momentum_Exhaustion,EUR_AUD,M15,TP3_SHORT,1.645735,0.0,100002.83,0.0,0.74
2024-02-01 04:45:00+00:00,S5_Momentum_Exhaustion,EUR_AUD,M15,SELL_SHORT,1.64921,1500.04,100002.83,0.0,0.0
2024-02-01 05:15:00+00:00,S5_Momentum_Exhaustion,EUR_AUD,M15,SL_EXIT_SHORT,1.6512135714285714,0.0,100001.01,0.0,-1.82
