time,strategy,instrument,granularity,side,price,position_size,equity,drawdown,pnl
2024-01-30 06:45:00+00:00,S2_Session_VWAP_Reversal,GBP_JPY,M15,BUY,187.102,2000.0,100000.0,0.0,0.0
2024-01-30 07:00:00+00:00,S2_Session_VWAP_Reversal,GBP_JPY,M15,SL_EXIT_LONG,186.99582142857142,0.0,99998.87,0.0,-1.13
2024-01-30 07:00:00+00:00,S2_Session_VWAP_Reversal,GBP_JPY,M15,BUY,186.82,1999.98,99998.87,0.0,0.0
2024-01-30 09:30:00+00:00,S2_Session_VWAP_Reversal,GBP_JPY,M15,SL_EXIT_LONG,186.68746428571427,0.0,99997.45,0.0,-1.42
2024-01-30 17:45:00+00:00,S2_Session_VWAP_Reversal,GBP_JPY,M15,SELL_SHORT,187.434,1499.96,99997.45,0.0,0.0
2024-01-31 00:00:00+00:00,S2_Session_VWAP_Reversal,GBP_JPY,M15,TP1_SHORT,186.966165689435,749.98,99999.32,0.0,1.87
2024-01-31 05:45:00+00:00,S2_Session_VWAP_Reversal,GBP_JPY,M15,TIME_EXIT,187.275,0.0,99999.95,0.0,0.64
2024-01-31 14:45:00+00:00,S2_Session_VWAP_Reversal,GBP_JPY,M15,BUY,186.808,2000.0,99999.95,0.0,0.0
2024-01-31 15:30:00+00:00,S2_Session_VWAP_Reversal,GBP_JPY,M15,SL_EXIT_LONG,186.54442857142857,0.0,99997.13,0.0,-2.82
2024-01-31 15:30:00+00:00,S2_Session_VWAP_Reversal,GBP_JPY,M15,BUY,186.506,1999.94,99997.13,0.0,0.0
2024-01-31 15:45:00+00:00,S2_Session_VWAP_Reversal,GBP_JPY,M15,SL_EXIT_LONG,186.18810714285715,0.0,99993.72,0.0,-3.41
2024-01-31 15:45:00+00:00,S2_Session_VWAP_Reversal,GBP_JPY,M15,BUY,186.131,1499.91,99993.72,0.0,0.0
2024-02-01 03:45:00+00:00,S2_Session_VWAP_Reversal,GBP_JPY,M15,TIME_EXIT,186.094,0.0,99993.43,0.0,-0.3
